predict_price_nn,difference_nn,percent_change_nn
288306.66,-88306.65625,-44.15
1019553.6,-144553.625,-16.52
1151533.4,-561633.375,-95.21
1035024.4,-135024.375,-15.0
286432.1,78567.90625,21.53
325916.1,-36016.09375,-12.42
293037.3,-53537.3125,-22.35
461341.34,-6341.34375,-1.39
517390.9,157609.09375,23.35
235027.94,59972.0625,20.33
793176.56,176823.4375,18.23
715079.6,-65079.625,-10.01
418622.84,91377.15625,17.92
1463639.9,-313639.875,-27.27
523475.4,-113475.40625,-27.68
421879.47,18120.53125,4.12
604073.94,10916.0625,1.77
298869.53,-86369.53125,-40.64
421961.2,13038.8125,3.0
191328.89,7571.109375,3.81
187489.47,8510.53125,4.34
373943.22,41056.78125,9.89
604304.7,-14304.6875,-2.42
1345159.8,-346259.75,-34.66
974918.9,-384918.875,-65.24
486535.03,-41535.03125,-9.33
398715.72,61184.28125,13.3
350376.66,-100376.65625,-40.15
1644766.4,-945766.375,-135.3
561233.56,-52333.5625,-10.28
1053977.5,46022.5,4.18
664350.0,-129350.0,-24.18
603672.44,95327.5625,13.64
207069.05,2830.953125,1.35
366317.56,33682.4375,8.42
285458.38,-90558.375,-46.46
282331.34,-22331.34375,-8.59
198754.25,6145.75,3.0
471867.84,228082.15625,32.59
425910.25,-183887.25,-75.98
399714.8,-30714.8125,-8.32
784338.2,165661.8125,17.44
201461.8,-2961.796875,-1.49
693256.9,-93356.875,-15.56
1632219.5,-82219.5,-5.3
815387.4,-195387.375,-31.51
1293271.8,-94271.75,-7.86
